date,home_team,away_team,winner,first_shooter,first_shooter_connu
1985-12-15,Singapore,Malaysia,Singapore,Inconnu,False
1985-12-25,Pakistan,Nepal,Nepal,Inconnu,False
1985-12-25,Bangladesh,India,India,Inconnu,False
1986-03-21,Egypt,Cameroon,Egypt,Inconnu,False
1986-06-21,Brazil,France,France,Brazil,True
1986-06-21,Mexico,Germany,Germany,Germany,True
1986-06-22,Spain,Belgium,Belgium,Spain,True
1986-10-01,Saudi Arabia,Iraq,Saudi Arabia,Inconnu,False
1986-10-01,South Korea,Iran,South Korea,Inconnu,False
1986-10-01,United Arab Emirates,Indonesia,Indonesia,Inconnu,False
1986-10-01,Kuwait,China PR,Kuwait,Inconnu,False
1986-10-03,Saudi Arabia,Kuwait,Saudi Arabia,Inconnu,False
1986-10-19,Gabon,Angola,Angola,Inconnu,False
1986-12-17,Chad,Gabon,Chad,Inconnu,False
1987-03-01,Mali,Sierra Leone,Mali,Inconnu,False
1987-03-02,Senegal,Sierra Leone,Senegal,Inconnu,False
1987-06-19,Australia,Egypt,Australia,Inconnu,False
1987-06-21,South Korea,Australia,South Korea,Inconnu,False
1987-07-19,DR Congo,Senegal,DR Congo,Inconnu,False
1987-08-08,Ivory Coast,Madagascar,Ivory Coast,Inconnu,False
1987-08-09,Cameroon,Egypt,Egypt,Inconnu,False
1987-08-10,Kenya,Malawi,Malawi,Inconnu,False
1987-12-13,Malawi,Zimbabwe,Zimbabwe,Inconnu,False
1987-12-18,Equatorial Guinea,Gabon,Gabon,Inconnu,False
1987-12-27,Ethiopia,Zimbabwe,Ethiopia,Inconnu,False
1988-01-06,South Korea,Egypt,South Korea,Inconnu,False
1988-03-23,Algeria,Nigeria,Nigeria,Inconnu,False
1988-03-26,Morocco,Algeria,Algeria,Inconnu,False
1988-03-31,Germany,Sweden,Sweden,Sweden,True
1988-05-05,Mali,Senegal,Mali,Inconnu,False
1988-05-08,Guinea,Mali,Guinea,Inconnu,False
1988-05-28,Canada,Greece,Canada,Inconnu,False
1988-07-19,Egypt,Syria,Syria,Inconnu,False
1988-07-21,Iraq,Syria,Iraq,Inconnu,False
1988-09-29,Chile,Ecuador,Ecuador,Inconnu,False
1988-10-16,Eswatini,Tanzania,Eswatini,Inconnu,False
1988-12-06,Central African Republic,Gabon,Gabon,Inconnu,False
1988-12-17,China PR,Iran,Iran,Inconnu,False
1988-12-18,South Korea,Saudi Arabia,Saudi Arabia,South Korea,True
1989-04-23,Ghana,Gabon,Gabon,Inconnu,False
1989-04-23,Kenya,Sudan,Kenya,Inconnu,False
1989-08-30,Indonesia,Thailand,Indonesia,Inconnu,False
1989-11-08,Iran,Uganda,Uganda,Inconnu,False
1989-11-12,Iraq,Uganda,Iraq,Inconnu,False
1989-12-11,Chad,Cameroon,Cameroon,Inconnu,False
1989-12-16,Malawi,Uganda,Uganda,Inconnu,False
1990-01-28,Nigeria,Senegal,Nigeria,Inconnu,False
1990-02-04,United States,Colombia,Colombia,Colombia,True
1990-02-20,Colombia,Russia,Colombia,Colombia,True
1990-05-18,Zimbabwe,Eswatini,Zimbabwe,Inconnu,False
1990-06-25,Republic of Ireland,Romania,Republic of Ireland,Romania,True
1990-06-30,Yugoslavia,Argentina,Argentina,Argentina,True
1990-07-03,Italy,Argentina,Argentina,Italy,True
1990-07-04,Germany,England,Germany,England,True
1990-08-03,China PR,South Korea,South Korea,Inconnu,False
1990-10-01,Saudi Arabia,North Korea,North Korea,Inconnu,False
1990-10-06,Iran,North Korea,Iran,Inconnu,False
1990-12-17,Tanzania,Uganda,Uganda,Inconnu,False
1990-12-17,Central African Republic,Equatorial Guinea,Central African Republic,Inconnu,False
1991-01-21,Cameroon,Algeria,Cameroon,Inconnu,False
1991-01-21,Senegal,Ivory Coast,Ivory Coast,Inconnu,False
1991-01-22,Senegal,Algeria,Senegal,Inconnu,False
1991-01-23,Ivory Coast,Cameroon,Ivory Coast,Inconnu,False
1991-06-14,South Korea,Australia,South Korea,Inconnu,False
1991-06-16,Italy,Russia,Italy,Russia,True
1991-07-07,United States,Honduras,United States,United States,True
1991-08-08,Czechoslovakia,Yugoslavia,Czechoslovakia,Inconnu,False
1991-09-20,Fiji,Solomon Islands,Fiji,Inconnu,False
1991-09-28,Egypt,Mali,Egypt,Inconnu,False
1991-12-02,Indonesia,Singapore,Indonesia,Inconnu,False
1991-12-04,Indonesia,Thailand,Indonesia,Inconnu,False
1992-01-23,Cameroon,Ivory Coast,Ivory Coast,Ivory Coast,True
1992-01-26,Ghana,Ivory Coast,Ivory Coast,Ivory Coast,True
1992-06-22,Netherlands,Denmark,Denmark,Netherlands,True
1992-06-27,Cuba,Martinique,Martinique,Inconnu,False
1992-08-29,Japan,South Korea,Japan,Inconnu,False
1992-09-15,Syria,Egypt,Egypt,Inconnu,False
1992-11-08,China PR,United Arab Emirates,China PR,Inconnu,False
1992-11-25,Uganda,Zambia,Uganda,Inconnu,False
1993-01-23,Japan,Switzerland,Switzerland,Inconnu,False
1993-02-20,Finland,Estonia,Finland,Inconnu,False
1993-02-24,Argentina,Denmark,Argentina,Argentina,True
1993-05-27,Bolivia,Paraguay,Bolivia,Inconnu,False
1993-05-28,Martinique,Saint Kitts and Nevis,Martinique,Inconnu,False
1993-05-30,Jamaica,Martinique,Martinique,Inconnu,False
1993-06-17,Singapore,Myanmar,Singapore,Inconnu,False
1993-06-26,Colombia,Uruguay,Colombia,Colombia,True
1993-06-27,Brazil,Argentina,Argentina,Brazil,True
1993-07-01,Colombia,Argentina,Argentina,Colombia,True
1993-08-15,Australia,Canada,Australia,Australia,True
1993-10-24,Burundi,Guinea,Guinea,Inconnu,False
1993-12-26,Nepal,India,Nepal,Inconnu,False
1994-01-29,Burkina Faso,Guinea,Burkina Faso,Inconnu,False
1994-04-06,Nigeria,Ivory Coast,Nigeria,Nigeria,True
1994-07-05,Mexico,Bulgaria,Bulgaria,Mexico,True
1994-07-10,Romania,Sweden,Sweden,Sweden,True
1994-07-17,Brazil,Italy,Brazil,Italy,True
1994-12-08,Tanzania,Uganda,Tanzania,Inconnu,False
1995-01-10,Denmark,Mexico,Denmark,Denmark,True
1995-01-13,Mexico,Nigeria,Mexico,Nigeria,True
1995-02-26,Japan,South Korea,Japan,Inconnu,False
1995-03-31,India,Bangladesh,India,Inconnu,False
1995-05-21,Antigua and Barbuda,Saint Kitts and Nevis,Antigua and Barbuda,Inconnu,False
1995-06-09,Paraguay,Bolivia,Paraguay,Inconnu,False
1995-07-16,Paraguay,Colombia,Colombia,Colombia,True
1995-07-17,United States,Mexico,United States,United States,True
1995-07-17,Brazil,Argentina,Brazil,Brazil,True
1995-07-23,Uruguay,Brazil,Uruguay,Uruguay,True
1995-08-24,Fiji,Solomon Islands,Solomon Islands,Inconnu,False
1995-11-28,Mauritania,Sierra Leone,Sierra Leone,Inconnu,False
1995-12-02,Gabon,Cameroon,Cameroon,Inconnu,False
1995-12-02,Algeria,Ivory Coast,Ivory Coast,Inconnu,False
1995-12-06,Ethiopia,Zanzibar,Zanzibar,Inconnu,False
1995-12-07,Honduras,Costa Rica,Honduras,Inconnu,False
1995-12-25,Bangladesh,Sri Lanka,Bangladesh,Inconnu,False
1995-12-27,Sri Lanka,Nepal,Sri Lanka,Inconnu,False
1996-01-28,Gabon,Tunisia,Tunisia,Tunisia,True
1996-02-22,Japan,Sweden,Sweden,Inconnu,False
1996-04-28,Barbados,Jamaica,Jamaica,Inconnu,False
1996-05-05,Guyana,Suriname,Suriname,Inconnu,False
1996-06-05,Martinique,Suriname,Martinique,Inconnu,False
1996-06-22,England,Spain,England,England,True
1996-06-22,France,Netherlands,France,Netherlands,True
1996-06-26,France,Czech Republic,Czech Republic,France,True
1996-06-26,England,Germany,Germany,England,True
1996-08-25,Ethiopia,Uganda,Ethiopia,Inconnu,False
1996-11-29,Sudan,Kenya,Sudan,Inconnu,False
1996-12-11,Morocco,Croatia,Croatia,Inconnu,False
1996-12-12,Croatia,Czech Republic,Croatia,Inconnu,False
1996-12-19,Iran,Saudi Arabia,Saudi Arabia,Iran,True
1996-12-21,Iran,Kuwait,Iran,Kuwait,True
1996-12-21,United Arab Emirates,Saudi Arabia,Saudi Arabia,Saudi Arabia,True
1996-12-27,Benin,Burkina Faso,Benin,Inconnu,False
1997-02-07,Russia,Serbia,Russia,Inconnu,False
1997-04-10,India,Iraq,Iraq,Inconnu,False
1997-06-22,Ecuador,Mexico,Mexico,Ecuador,True
1997-07-10,Trinidad and Tobago,Jamaica,Trinidad and Tobago,Inconnu,False
1997-10-18,Indonesia,Thailand,Thailand,Inconnu,False
1997-10-20,Haiti,Cuba,Haiti,Inconnu,False
1997-10-22,Cuba,Cameroon,Cuba,Inconnu,False
1997-12-07,Gambia,Guinea,Guinea,Inconnu,False
1998-01-31,Egypt,South Korea,South Korea,Inconnu,False
1998-01-31,Iran,Chile,Iran,Inconnu,False
1998-02-21,Burkina Faso,Tunisia,Burkina Faso,Burkina Faso,True
1998-02-21,Ivory Coast,Egypt,Egypt,Ivory Coast,True
1998-02-27,Burkina Faso,DR Congo,DR Congo,DR Congo,True
1998-04-22,Hungary,North Macedonia,Hungary,Inconnu,False
1998-05-29,Belgium,England,Belgium,Belgium,True
1998-05-29,Morocco,France,Morocco,Morocco,True
1998-06-30,Argentina,England,Argentina,Argentina,True
1998-07-03,France,Italy,France,France,True
1998-07-07,Brazil,Netherlands,Brazil,Brazil,True
1998-08-15,Réunion,Madagascar,Réunion,Inconnu,False
1998-09-05,Indonesia,Thailand,Indonesia,Inconnu,False
1998-11-17,Guatemala,Honduras,Guatemala,Inconnu,False
1998-11-18,Guatemala,Mexico,Guatemala,Inconnu,False
1998-12-02,United Arab Emirates,North Korea,United Arab Emirates,Inconnu,False
1998-12-14,Qatar,Kuwait,Kuwait,Inconnu,False
1999-05-22,Malawi,Namibia,Namibia,Inconnu,False
1999-06-16,Thailand,New Zealand,Thailand,Inconnu,False
1999-06-19,New Zealand,Poland,Poland,Inconnu,False
1999-07-10,Mexico,Peru,Mexico,Mexico,True
1999-07-10,Paraguay,Uruguay,Uruguay,Uruguay,True
1999-07-13,Uruguay,Chile,Uruguay,Uruguay,True
1999-07-18,Eswatini,Zimbabwe,Eswatini,Inconnu,False
1999-07-31,Namibia,South Africa,Namibia,Inconnu,False
1999-08-03,Rwanda,Kenya,Kenya,Inconnu,False
1999-08-07,Rwanda,Burundi,Rwanda,Inconnu,False
1999-08-07,Zambia,Mozambique,Zambia,Inconnu,False
1999-08-14,Indonesia,Singapore,Indonesia,Inconnu,False
1999-08-28,Namibia,Eswatini,Namibia,Inconnu,False
1999-11-26,Gabon,Togo,Togo,Inconnu,False
2000-02-04,Romania,Georgia,Romania,Inconnu,False
2000-02-12,South Africa,Tunisia,South Africa,South Africa,True
2000-02-13,Nigeria,Cameroon,Cameroon,Nigeria,True
2000-02-19,United States,Colombia,Colombia,United States,True
2000-03-19,Suriname,Saint Lucia,Suriname,Inconnu,False
2000-04-29,British Virgin Islands,Sint Maarten,British Virgin Islands,Inconnu,False
2000-04-30,British Virgin Islands,Antigua and Barbuda,Antigua and Barbuda,Inconnu,False
2000-05-10,Maldives,Sri Lanka,Sri Lanka,Inconnu,False
2000-05-11,Senegal,Mali,Senegal,Inconnu,False
2000-05-20,Malawi,Angola,Angola,Inconnu,False
2000-05-21,Barbados,Cuba,Barbados,Inconnu,False
2000-06-04,France,Japan,France,France,True
2000-06-07,Iran,Egypt,Egypt,Inconnu,False
2000-06-11,Lesotho,Zambia,Lesotho,Inconnu,False
2000-06-29,Netherlands,Italy,Italy,Italy,True
2000-07-14,Libya,Chad,Libya,Inconnu,False
2000-07-16,Mozambique,Lesotho,Lesotho,Inconnu,False
2000-09-03,Togo,Sierra Leone,Togo,Inconnu,False
2000-10-04,United Arab Emirates,South Korea,United Arab Emirates,Inconnu,False
2000-10-28,Kenya,Uganda,Uganda,Inconnu,False
2000-12-02,Ethiopia,Rwanda,Ethiopia,Inconnu,False
2001-01-17,China PR,Egypt,Egypt,Inconnu,False
2001-01-27,South Korea,Paraguay,South Korea,Inconnu,False
2001-02-11,Eswatini,Zambia,Eswatini,Inconnu,False
2001-07-12,Ynys Môn,Jersey,Ynys Môn,Inconnu,False
2001-07-13,Guernsey,Ynys Môn,Guernsey,Inconnu,False
2001-07-29,Uruguay,Honduras,Honduras,Uruguay,True
2001-08-03,China PR,North Korea,North Korea,Inconnu,False
2001-08-03,Kuwait,Trinidad and Tobago,Kuwait,Inconnu,False
2001-08-05,Kuwait,North Korea,North Korea,Inconnu,False
2001-08-18,Zambia,Angola,Angola,Inconnu,False
2001-10-24,Kenya,Uganda,Kenya,Inconnu,False
2001-10-24,Tanzania,DR Congo,Tanzania,Inconnu,False
2001-12-18,Ethiopia,Burundi,Ethiopia,Inconnu,False
2002-01-06,Martinique,Haiti,Martinique,Inconnu,False
2002-01-26,Canada,Martinique,Canada,Canada,True
2002-01-27,Mexico,South Korea,South Korea,South Korea,True
2002-01-30,United States,Canada,United States,United States,True
2002-02-10,Senegal,Cameroon,Cameroon,Cameroon,True
2002-02-12,Cyprus,Switzerland,Cyprus,Inconnu,False
2002-02-15,China PR,Slovenia,Slovenia,Inconnu,False
2002-02-16,Thailand,North Korea,North Korea,Inconnu,False
2002-03-30,Botswana,South Africa,South Africa,Inconnu,False
2002-05-17,Russia,Belarus,Belarus,Inconnu,False
2002-05-19,Russia,Serbia,Serbia,Inconnu,False
2002-06-16,Spain,Republic of Ireland,Spain,Republic of Ireland,True
2002-06-22,South Korea,Spain,South Korea,South Korea,True
2002-07-21,South Africa,Madagascar,South Africa,Inconnu,False
2002-09-05,Iraq,Iran,Iraq,Inconnu,False
2002-09-07,Syria,Iran,Iran,Inconnu,False
2002-09-17,Iran,Morocco,Iran,Inconnu,False
2002-09-19,Iran,Paraguay,Iran,Inconnu,False
2002-10-23,Kenya,South Africa,Kenya,Inconnu,False
2002-10-26,Tanzania,South Africa,South Africa,Inconnu,False
2002-10-26,Kenya,Uganda,Kenya,Inconnu,False
2002-11-19,South Africa,Senegal,Senegal,Inconnu,False
2002-12-27,Niger,Burkina Faso,Burkina Faso,Inconnu,False
2002-12-29,Niger,Mali,Niger,Inconnu,False
2003-01-20,Bangladesh,Maldives,Bangladesh,Inconnu,False
2003-02-04,Uruguay,Iran,Uruguay,Iran,True
2003-03-07,Benin,Niger,Benin,Inconnu,False
2003-03-15,Guadeloupe,French Guiana,Guadeloupe,Inconnu,False
2003-03-22,Mozambique,Lesotho,Mozambique,Inconnu,False
2003-03-27,Tunisia,Ghana,Tunisia,Inconnu,False
2003-03-30,Ghana,Madagascar,Ghana,Inconnu,False
2003-05-24,Botswana,Malawi,Malawi,Inconnu,False
2003-07-09,New Caledonia,Vanuatu,New Caledonia,Inconnu,False
2003-08-16,Malawi,Zambia,Malawi,Inconnu,False
2003-09-24,Algeria,Gabon,Algeria,Inconnu,False
2003-09-26,Algeria,Burkina Faso,Algeria,Inconnu,False
2003-12-08,Kenya,Rwanda,Rwanda,Inconnu,False
2003-12-08,Sudan,Uganda,Uganda,Inconnu,False
2004-02-11,Tunisia,Nigeria,Tunisia,Tunisia,True
2004-02-19,Kazakhstan,Armenia,Kazakhstan,Inconnu,False
2004-02-28,Lesotho,Botswana,Botswana,Inconnu,False
2004-06-23,Jordan,Syria,Syria,Inconnu,False
2004-06-24,Portugal,England,Portugal,England,True
2004-06-26,Sweden,Netherlands,Netherlands,Sweden,True
2004-07-18,Angola,Botswana,Angola,Inconnu,False
2004-07-21,Uruguay,Brazil,Brazil,Brazil,True
2004-07-25,Argentina,Brazil,Brazil,Argentina,True
2004-07-30,Uzbekistan,Bahrain,Bahrain,Bahrain,True
2004-07-31,Japan,Jordan,Japan,Japan,True
2004-08-03,China PR,Iran,China PR,China PR,True
2004-10-22,Nigeria,Ecuador,Ecuador,Inconnu,False
2004-10-24,Zimbabwe,Zambia,Zambia,Inconnu,False
2004-11-20,Zambia,Angola,Angola,Inconnu,False
2004-11-30,Thailand,Estonia,Thailand,Inconnu,False
2004-11-30,Singapore,Hong Kong,Hong Kong,Inconnu,False
2004-12-02,Thailand,Slovakia,Slovakia,Inconnu,False
2004-12-03,Bahrain,Latvia,Bahrain,Inconnu,False
2004-12-03,Finland,Oman,Oman,Inconnu,False
2004-12-22,Ethiopia,Kenya,Ethiopia,Inconnu,False
2004-12-24,Qatar,Oman,Qatar,Inconnu,False
2005-02-08,Cyprus,Austria,Cyprus,Inconnu,False
2005-02-09,Austria,Latvia,Latvia,Inconnu,False
2005-02-27,Costa Rica,Honduras,Costa Rica,Inconnu,False
2005-04-16,Namibia,Botswana,Botswana,Inconnu,False
2005-05-15,Jersey,Guernsey,Guernsey,Inconnu,False
2005-06-26,Mexico,Argentina,Argentina,Mexico,True
2005-07-17,South Africa,Panama,Panama,Panama,True
2005-07-24,United States,Panama,United States,Panama,True
2005-07-28,Kuwait,United Arab Emirates,United Arab Emirates,Inconnu,False
2005-07-30,Egypt,United Arab Emirates,Egypt,Inconnu,False
2005-08-13,South Africa,Zambia,Zambia,Inconnu,False
2005-08-15,Ukraine,Israel,Israel,Inconnu,False
2005-11-16,Australia,Uruguay,Australia,Australia,True
2005-12-10,Syria,Iraq,Iraq,Inconnu,False
2005-12-10,Zanzibar,Uganda,Zanzibar,Inconnu,False
2006-02-04,Nigeria,Tunisia,Nigeria,Nigeria,True
2006-02-04,Cameroon,Ivory Coast,Ivory Coast,Cameroon,True
2006-02-10,Egypt,Ivory Coast,Egypt,Egypt,True
2006-02-28,Finland,Kazakhstan,Kazakhstan,Inconnu,False
2006-03-01,Finland,Belarus,Finland,Inconnu,False
2006-04-29,Lesotho,Mozambique,Lesotho,Inconnu,False
2006-04-30,Mauritius,Mozambique,Mozambique,Inconnu,False
2006-05-21,Botswana,South Africa,Botswana,Inconnu,False
2006-06-03,Northern Cyprus,Zanzibar,Northern Cyprus,Inconnu,False
2006-06-26,Switzerland,Ukraine,Ukraine,Ukraine,True
2006-06-30,Germany,Argentina,Germany,Germany,True
2006-07-01,England,Portugal,Portugal,Portugal,True
2006-07-09,Italy,France,Italy,Italy,True
2006-07-22,Namibia,Seychelles,Seychelles,Inconnu,False
2007-04-29,Mozambique,Zimbabwe,Mozambique,Inconnu,False
2007-05-06,Guernsey,Jersey,Jersey,Inconnu,False
2007-05-26,Malawi,South Africa,South Africa,Inconnu,False
2007-05-26,Eswatini,Mauritius,Mauritius,Inconnu,False
2007-07-10,Uruguay,Brazil,Brazil,Brazil,True
2007-07-21,Japan,Australia,Japan,Australia,True
2007-07-22,Iran,South Korea,South Korea,South Korea,True
2007-07-25,Iraq,South Korea,Iraq,South Korea,True
2007-07-28,South Korea,Japan,South Korea,South Korea,True
2007-07-29,Botswana,Angola,Botswana,Inconnu,False
2007-08-18,Mauritius,Mayotte,Mayotte,Inconnu,False
2007-08-18,Madagascar,Réunion,Réunion,Inconnu,False
2007-10-24,South Africa,Zambia,South Africa,Inconnu,False
2008-05-05,Jersey,Guernsey,Jersey,Inconnu,False
2008-06-20,Croatia,Turkey,Turkey,Croatia,True
2008-06-22,Spain,Italy,Spain,Spain,True
2008-07-27,Zambia,Zimbabwe,Zambia,Inconnu,False
2008-09-30,New Caledonia,Martinique,Martinique,Inconnu,False
2009-06-26,Provence,Sápmi,Sápmi,Inconnu,False
2009-07-23,Costa Rica,Mexico,Mexico,Mexico,True
2009-10-28,Zimbabwe,South Africa,Zimbabwe,Inconnu,False
2010-01-25,Zambia,Nigeria,Nigeria,Zambia,True
2010-05-21,Corsica,Gabon,Corsica,Inconnu,False
2010-06-29,Paraguay,Japan,Paraguay,Paraguay,True
2010-07-02,Uruguay,Ghana,Uruguay,Uruguay,True
2010-09-22,French Guiana,Mayotte,Mayotte,Inconnu,False
2010-09-23,Guadeloupe,New Caledonia,New Caledonia,Inconnu,False
2010-09-26,Guadeloupe,Tahiti,Tahiti,Inconnu,False
2010-09-29,New Caledonia,Tahiti,Tahiti,Inconnu,False
2010-10-02,Réunion,Martinique,Martinique,Inconnu,False
2011-01-25,Japan,South Korea,Japan,Japan,True
2011-02-08,Romania,Ukraine,Ukraine,Inconnu,False
2011-02-09,Sweden,Ukraine,Ukraine,Inconnu,False
2011-05-08,Guernsey,Jersey,Jersey,Inconnu,False
2011-06-08,Uruguay,Netherlands,Uruguay,Netherlands,True
2011-06-18,Costa Rica,Honduras,Honduras,Costa Rica,True
2011-06-19,Panama,El Salvador,Panama,Panama,True
2011-06-29,Saare County,Åland Islands,Åland Islands,Inconnu,False
2011-06-30,Isle of Man,Menorca,Menorca,Inconnu,False
2011-07-12,Saint Lucia,Aruba,Saint Lucia,Inconnu,False
2011-07-16,Argentina,Uruguay,Uruguay,Argentina,True
2011-07-17,Brazil,Paraguay,Paraguay,Brazil,True
2011-07-20,Paraguay,Venezuela,Paraguay,Paraguay,True
2011-08-11,Mayotte,Mauritius,Mauritius,Inconnu,False
2011-08-13,Seychelles,Mauritius,Seychelles,Inconnu,False
2012-02-05,Gabon,Mali,Mali,Gabon,True
2012-02-12,Zambia,Ivory Coast,Zambia,Ivory Coast,True
2012-06-03,Finland,Latvia,Latvia,Finland,True
2012-06-17,Mozambique,Tanzania,Mozambique,Inconnu,False
2012-06-24,England,Italy,Italy,Italy,True
2012-06-27,Portugal,Spain,Spain,Spain,True
2012-08-25,Alderney,Sealand,Sealand,Inconnu,False
2012-09-02,India,Cameroon,India,Inconnu,False
2012-09-29,Réunion,Martinique,Réunion,Inconnu,False
2012-10-13,Uganda,Zambia,Zambia,Inconnu,False
2012-11-21,Argentina,Brazil,Brazil,Argentina,True
2013-01-23,Sweden,North Korea,Sweden,Inconnu,False
2013-02-02,South Africa,Mali,Mali,South Africa,True
2013-02-06,Burkina Faso,Ghana,Burkina Faso,Ghana,True
2013-06-27,Spain,Italy,Spain,Italy,True
2013-06-30,Uruguay,Italy,Italy,Uruguay,True
2013-07-13,Zimbabwe,Malawi,Zimbabwe,Inconnu,False
2013-07-14,Angola,Lesotho,Lesotho,Inconnu,False
2013-07-17,Zambia,South Africa,Zambia,Inconnu,False
